name,slug,category,city,area,publish_status,confidence_tier,source_url,join_link,source_label,price_type,beginner_friendly,solo_friendly,best_for,notes
"Singapore Social Badminton","singapore-social-badminton","badminton","Singapore","Singapore","publish","publishable","https://www.meetup.com/find/?keywords=badminton&location=sg--Singapore","https://www.meetup.com/find/?keywords=badminton&location=sg--Singapore","Public Meetup search","free_paid","true","true","Casual players who want to find a game without a fixed group.","Public code seed."
"Rapha Cycling Club Singapore","rapha-cycling-club-singapore","cycling","Singapore","Singapore","publish","publishable","https://www.rapha.cc/","https://www.rapha.cc/","Official website","membership","false","true","Road cyclists who want an established club structure.","Public code seed."
"ANZA Cycling","anza-cycling","cycling","Singapore","Singapore","publish","publishable","https://anza.org.sg/sports/cycling/","https://anza.org.sg/sports/cycling/","Official website","membership","false","true","Cyclists who want organized club rides and membership structure.","Public code seed."
"FIVE45 Cycling Club","five45-cycling-club","cycling","Singapore","Singapore","publish","publishable","https://five45.cc/","https://five45.cc/","Official website","free_paid","false","true","Cyclists who want a local club rather than solo rides.","Public code seed."
"SGTREK","sgtrek","hiking","Singapore","Singapore / regional outdoors","publish","publishable","https://sgtrek.com/","https://sgtrek.com/","Official website","paid","true","true","People who want the outdoors without planning the route themselves.","Public code seed."
"Adventure Lovers Meetup Singapore","adventure-lovers-meetup-singapore","hiking","Singapore","Singapore","publish","publishable","https://www.meetup.com/find/?keywords=hiking&location=sg--Singapore","https://www.meetup.com/find/?keywords=hiking&location=sg--Singapore","Public Meetup search","free_paid","true","true","Solo joiners who want outdoor plans with other people.","Public code seed."
"Boulder Without Borders","boulder-without-borders","climbing","Singapore","Singapore","publish","publishable","https://www.boulderwithoutborders.com/","https://www.boulderwithoutborders.com/","Official website","free_paid","true","true","Climbers who want a social entry point rather than climbing alone.","Public code seed."
"BoulderKakis","boulderkakis","climbing","Singapore","Singapore","publish","publishable","https://www.boulderkakis.com/","https://www.boulderkakis.com/","Official website","free_paid","true","true","People who want climbing buddies before committing to a gym routine.","Public code seed."
"MetaSport","metasport","fitness_social","Singapore","Singapore","publish","publishable","https://www.metasport.com/","https://www.metasport.com/","Official website","paid","true","true","People exploring triathlon or endurance events with a structured operator.","Public code seed."
"Singapore Runners Club","singapore-runners-club","running","Singapore","Singapore","review","needs_review","https://fitnessinsg.com/singapore-run-clubs/","","Directory source","free_paid","true","true","Broad running audience if a current official join path is verified.","Needs official current join link."
"Ridge Runners","ridge-runners","running","Singapore","Singapore","review","needs_review","https://fitnessinsg.com/singapore-run-clubs/","","Directory source","free_paid","false","true","Trail or endurance runners looking for a niche group.","Needs official current join link."
"Singapore FrontRunners","singapore-frontrunners","running","Singapore","Singapore","review","needs_review","https://fitnessinsg.com/singapore-run-clubs/","","Directory source","free_paid","true","true","Inclusive runners who want a welcoming social run context.","Needs official current join link."
"ASICS Running Club Singapore","asics-running-club-singapore","running","Singapore","Singapore","review","needs_review","https://fitnessinsg.com/singapore-run-clubs/","","Directory source","free","true","true","Runners who prefer brand-led organized sessions.","Needs official local schedule."
"Garmin Run Club Singapore","garmin-run-club-singapore","running","Singapore","Singapore","review","needs_review","https://fitnessinsg.com/singapore-run-clubs/","","Directory source","free","true","true","Runners who want device/training-led community runs.","Needs official local schedule."
"adidas Runners Singapore","adidas-runners-singapore","running","Singapore","Singapore","review","needs_review","https://fitnessinsg.com/singapore-run-clubs/","","Directory source","free","true","true","Runners who want a large brand community and structured sessions.","Needs official local chapter verification."
"lululemon Run Club Singapore","lululemon-run-club-singapore","running","Singapore","Singapore","review","needs_review","https://fitnessinsg.com/singapore-run-clubs/","","Directory source","free","true","true","Runners who want a premium lifestyle community entry point.","Needs official local schedule."
"Run.JPG","run-jpg","running","Singapore","Singapore","review","needs_review","https://fitnessinsg.com/singapore-run-clubs/","","Directory source","free_paid","true","true","Modern social runners who want a younger community feel.","Needs official public join link."
"OFF:FORM","off-form","running","Singapore","Singapore","review","needs_review","https://fitnessinsg.com/singapore-run-clubs/","","Directory source","free_paid","true","true","Runners looking for a differentiated social crew identity.","Needs official public join link."
"Easy Pace Run Club","easy-pace-run-club","running","Singapore","Singapore","review","needs_review","https://fitnessinsg.com/singapore-run-clubs/","","Directory source","free_paid","true","true","Beginners or casual runners who want a lower-pressure pace.","Needs official current schedule."
"Urban Milers","urban-milers","running","Singapore","Singapore","review","needs_review","https://fitnessinsg.com/singapore-run-clubs/","","Directory source","free_paid","true","true","City runners who want social mileage without organizing it themselves.","Needs official current link."
"SG Fitclub","sg-fitclub","outdoor_fitness","Singapore","Singapore","review","needs_review","https://www.meetup.com/find/?keywords=fitness&location=sg--Singapore","","Public search source","free_paid","true","true","People looking for group workouts that are more social than gym-only.","Needs official group identity."
"Singapore Free Meditation","singapore-free-meditation","meditation","Singapore","Singapore","review","needs_review","https://www.meetup.com/find/?keywords=meditation&location=sg--Singapore","","Public Meetup search","free","true","true","People who want a free, gentle wellness entry point.","Needs specific active group verification."
"Pickleball Social Crew","pickleball-social-crew","pickleball","Singapore","Singapore","review","needs_review","https://www.meetup.com/find/?keywords=pickleball&location=sg--Singapore","","Public Meetup search","free_paid","true","true","Social players who want pickleball games without fixed partners.","Needs specific group page."
"Drop & Reset Pickleball Social Club","drop-reset-pickleball-social-club","pickleball","Singapore","Singapore","review","needs_review","https://www.meetup.com/find/?keywords=pickleball&location=sg--Singapore","","Public Meetup search","free_paid","true","true","Players who want a social club feel around pickleball.","Needs specific group page."
"Play! Padel","play-padel","tennis","Singapore","Singapore","review","needs_review","https://www.meetup.com/find/?keywords=padel&location=sg--Singapore","","Public search source","paid","true","true","People who want social padel or beginner-friendly open play.","Needs official URL confirmation."
"Singapore Volleyball Meetup","singapore-volleyball-meetup","volleyball","Singapore","Singapore","review","needs_review","https://www.meetup.com/find/?keywords=volleyball&location=sg--Singapore","","Public Meetup search","free_paid","true","true","Solo joiners who want team sport without forming a team first.","Needs specific group page."
"Football Pickup Games Singapore","football-pickup-games-singapore","soccer","Singapore","Singapore","review","needs_review","https://www.meetup.com/find/?keywords=football&location=sg--Singapore","","Public Meetup search","free_paid","true","true","Players who want pickup games without managing a WhatsApp group.","Needs specific group page."
"Joyriders Singapore","joyriders-singapore","cycling","Singapore","Singapore","review","needs_review","https://www.meetup.com/find/?keywords=cycling&location=sg--Singapore","","Public search source","free_paid","false","true","Cyclists who want social group rides.","Needs official current join path."
"Singapore Adventurous Nature-Lovers","singapore-adventurous-nature-lovers","hiking","Singapore","Singapore","review","needs_review","https://www.meetup.com/find/?keywords=hiking&location=sg--Singapore","","Public Meetup search","free_paid","true","true","People who want nature walks and hikes with other joiners.","Needs specific group page."
"eXplorerSG Walk-Talk-eAT","explorersg-walk-talk-eat","hiking","Singapore","Singapore","review","needs_review","https://www.meetup.com/find/?keywords=walk&location=sg--Singapore","","Public Meetup search","free_paid","true","true","Casual walkers who want social movement and food-adjacent plans.","Needs specific group page."
"Climbing.sg","climbing-sg","climbing","Singapore","Singapore","review","needs_review","https://climbing.sg/","https://climbing.sg/","Community/source hub","free_paid","true","true","Climbers looking for community information and social climb discovery.","Better as source hub unless joinable events are clear."
"Queer Joy Climbing","queer-joy-climbing","climbing","Singapore","Singapore","review","needs_review","https://www.meetup.com/find/?keywords=climbing&location=sg--Singapore","","Public search source","free_paid","true","true","Inclusive climbers who want a safer social entry point.","Needs official public link."
"Triathlon Singapore","triathlon-singapore","fitness_social","Singapore","Singapore","review","needs_review","https://www.triathlonsingapore.org/","https://www.triathlonsingapore.org/","Official association","free_paid","false","true","Endurance athletes looking for clubs and official triathlon pathways.","Use as discovery hub unless specific club join path is clear."
